date,open,high,low,close,volume
2020/12/7,3446.65,3449.58,3414.31,3416.6,25452250800
2020/12/8,3417.69,3428.66,3403.03,3410.18,22690732800
2020/12/9,3416.08,3422.54,3371.92,3371.96,26074742400
2020/12/10,3365.73,3384.89,3357.75,3373.28,24730830400
2020/12/11,3381.01,3383.18,3325.17,3347.19,29861715800
2020/12/14,3349.53,3371.13,3338.63,3369.12,23980792600
2020/12/15,3366.58,3373.56,3348.42,3367.23,22566740200
2020/12/16,3371.26,3378.66,3359.17,3366.98,22081397600
2020/12/17,3367.28,3406.15,3354.01,3404.87,27546363100
2020/12/18,3400.49,3413.81,3382.75,3394.9,28099264100
2020/12/21,3394.39,3423.61,3381.12,3420.57,28375979400
2020/12/22,3410.97,3415.75,3353.86,3356.78,32303765400
2020/12/23,3362.47,3394.21,3360.2,3382.32,29952352700
2020/12/24,3382.19,3394.07,3354.02,3363.11,27504445000
2020/12/25,3351.79,3397.01,3348.35,3396.56,29454689500
2020/12/28,3396.36,3412.52,3383.65,3397.29,31618154200
2020/12/29,3399.29,3407.09,3376.09,3379.04,31176918500
2020/12/30,3375.01,3414.45,3374.42,3414.45,29102354300
2020/12/31,3419.73,3474.92,3419.73,3473.07,33567392600
2021/1/4,3474.68,3511.66,3457.21,3502.96,38079080000
2021/1/5,3492.19,3528.68,3484.72,3528.68,40799593400
2021/1/6,3530.91,3556.8,3513.13,3550.88,37023092600
2021/1/7,3552.91,3576.2,3526.62,3576.2,40534822600
2021/1/8,3577.69,3588.06,3544.89,3570.11,34555789600
2021/1/11,3571.32,3597.7,3516.99,3531.5,36247915400
2021/1/12,3518.01,3608.34,3517.47,3608.34,32340615300
2021/1/13,3613.28,3622.35,3575.59,3598.65,38812779100
2021/1/14,3584.93,3599.06,3559.6,3565.9,34766681900
2021/1/15,3566.28,3589.27,3533.79,3566.38,32461274400
2021/1/18,3554.8,3608.77,3544.26,3596.22,30165256500
2021/1/19,3596.36,3603.15,3553.02,3566.38,32343954100
2021/1/20,3564.12,3589.96,3556.44,3583.09,27227166100
2021/1/21,3590.92,3636.24,3585.8,3621.26,32746699500
2021/1/22,3616.54,3616.54,3585.03,3606.75,32446308400
2021/1/25,3605.36,3637.1,3591.02,3624.24,32734107000
2021/1/26,3610.97,3610.97,3564.74,3569.43,27813988400
2021/1/27,3567.55,3578.8,3546.49,3573.34,26410716100
2021/1/28,3534.67,3549.54,3496.88,3505.18,27086246100
2021/1/29,3521.72,3531.6,3446.55,3483.07,29366266400
2021/2/1,3477.17,3506.39,3469.88,3505.28,27756790100
2021/2/2,3510.81,3535.5,3495.57,3533.68,26454063000
2021/2/3,3531.15,3544.01,3508.51,3517.31,29735171600
2021/2/4,3503.78,3524.72,3465.77,3501.86,29883485400
2021/2/5,3509.49,3536.54,3492.96,3496.33,29014617400
2021/2/8,3504.56,3542.21,3492.13,3532.45,24979961900
2021/2/9,3539.77,3604.01,3528.68,3603.49,25382176000
2021/2/10,3612.61,3662.77,3612.5,3655.09,25794082400
2021/2/18,3721.09,3731.69,3663.66,3675.36,34030906500
2021/2/19,3661.78,3699.65,3634.01,3696.17,36105980400
2021/2/22,3707.19,3717.27,3642.44,3642.44,48882147800
2021/2/23,3617.7,3672.15,3617.7,3636.36,39887317400
2021/2/24,3638.94,3645.65,3531.59,3564.08,36215895200
2021/2/25,3595.54,3608.56,3568.47,3585.05,36623229900
2021/2/26,3514.56,3550.41,3500.7,3509.08,33328006700
2021/3/1,3531.48,3552.57,3511.99,3551.4,31548752600
2021/3/2,3566.85,3566.85,3485.36,3508.59,33983048600
2021/3/3,3500.16,3577.62,3498.72,3576.9,34765684600
2021/3/4,3546.64,3552.2,3487.38,3503.49,39361612000
2021/3/5,3463.31,3523.57,3456.67,3501.99,35640922300
2021/3/8,3524.98,3542.3,3421.22,3421.41,38704795400
2021/3/9,3415.34,3429.15,3328.31,3359.29,40765253900
2021/3/10,3389.84,3397.03,3354.82,3357.74,29974916600
2021/3/11,3369.9,3436.83,3369.9,3436.83,32211204400
2021/3/12,3447.2,3454.51,3417.24,3453.08,35802703500
2021/3/15,3441.88,3457.49,3392.51,3419.95,36781329300
2021/3/16,3424.65,3448.88,3406.17,3446.73,31666874700
2021/3/17,3435.73,3454.06,3410.28,3445.55,28005981800
2021/3/18,3449.64,3478.14,3449.38,3463.07,28440389100
2021/3/19,3423.87,3439.52,3389.29,3404.66,30916171600
2021/3/22,3406.12,3443.66,3404.23,3443.44,31255908400
2021/3/23,3445.34,3445.42,3390.05,3411.51,32638940900
2021/3/24,3394.13,3415.29,3362.18,3367.06,31739869700
2021/3/25,3355.07,3382.23,3344.97,3363.59,27067609700
2021/3/26,3373.32,3423.22,3373.32,3418.33,27461498700
2021/3/29,3429.63,3449.83,3409.89,3435.3,28482424300
2021/3/30,3432.53,3457.63,3423.32,3456.68,28542308100
2021/3/31,3452.21,3452.21,3420.83,3441.91,28304926100
2021/4/1,3444.81,3470.03,3438.83,3466.33,27524429500
2021/4/2,3472.63,3487.59,3462.83,3484.39,26265487300
2021/4/6,3491.63,3493.28,3471.76,3482.97,23474667100
2021/4/7,3483.42,3483.42,3453.19,3479.63,29578697800
2021/4/8,3467.49,3495.91,3459.32,3482.55,33175532900
2021/4/9,3475.44,3475.45,3442.14,3450.68,28008519600
2021/4/12,3445.97,3456.16,3403.9,3412.95,30957723900
2021/4/13,3411.29,3425.39,3387.9,3396.47,27062605400
2021/4/14,3397.02,3420.03,3392.98,3416.72,23324232700
2021/4/15,3409.61,3409.61,3373.09,3398.99,23400505400
2021/4/16,3407.19,3432.63,3394.13,3426.62,25857967200
2021/4/19,3427.55,3479.01,3414.36,3477.55,30273581900
2021/4/20,3467.15,3494.3,3463.46,3472.94,28530008200
2021/4/21,3456.3,3481.25,3450.11,3472.93,25377785900
2021/4/22,3482.83,3485.36,3456.32,3465.11,25111451000
2021/4/23,3462.09,3482.36,3456.33,3474.17,24936043300
2021/4/26,3484.11,3497.12,3438.57,3441.17,27697077100
2021/4/27,3440.09,3443.85,3417.26,3442.61,25303239300
2021/4/28,3432.16,3457.07,3423.33,3457.07,24738112000
2021/4/29,3458.08,3478.23,3447.59,3474.9,27663138700
2021/4/30,3468.3,3469.09,3426.9,3446.86,31266035400
