date,open,high,low,close,volume
20180507,659.95,701.88,657.77,698.17,8559143
20180508,698.03,712.13,698.03,708.83,6249783
20180509,709.08,712.3,697.12,701.95,3233106
20180510,703.5,716,703.5,714.19,3929380
20180511,718.69,730.5,715.7,718.02,3914165
20180514,724,743,724,742.41,5101471
20180515,746,746.44,734,743.06,3805580
20180516,740,745.66,733.28,734.52,3079520
20180517,735.12,737.5,724,727.38,2851793
20180518,723.99,741,721.19,739.32,2925517
20180521,744,747.3,732.48,734.82,2905958
20180522,735.22,739.84,730.02,739.57,1699896
20180523,740,740,723.58,723.78,2826871
20180524,720,728.66,713,715.4,3041634
20180525,712,727,712,716.86,2651146
20180528,718,740.66,715.12,740.4,4280523
20180529,738.8,750,731.28,731.43,4082027
20180530,727.22,737.3,720.05,725.87,3714710
20180531,730.25,751.62,730.24,751.13,7185287
20180601,751.13,754.98,738.76,745.11,3617763
20180604,752.35,782.9,745.88,781.97,7380597
20180605,786.5,794.7,777.23,788.05,5262967
20180606,788,800.95,782.3,785.75,4896948
20180607,789.98,795.55,778.9,780.97,3916778
20180608,780,785.9,770,777.95,3495846
20180611,776.05,786,768.33,775.73,3654755
20180612,778,803.5,776.5,799.19,5528708
20180613,800,802.62,788.88,790.33,3524437
20180614,790,793.8,775.18,786.13,3615961
20180615,773.2,778.58,769.1,773.33,3170773
20180619,769,769,737,738,6019587
20180620,741,765,741,763.59,4583802
20180621,765.22,778.89,758.77,759.32,3918255
20180622,754,767,750,766.53,2885481
20180625,766,778.97,764.9,765.56,3293416
20180626,765.31,769.88,747,754.8,4657798
20180627,752,757,721,722.44,5729801
20180628,714,719,697,710.93,5083394
20180629,712.3,732.3,705,731.46,3292927
20180702,734.52,739.33,703,711.55,3755811
20180703,709.76,715.78,678.23,694.92,8283710
20180704,692,700,688,690.91,3799075
20180705,700,716.2,700,702.39,4712380
20180706,707,720.93,699.26,714.12,4415661
20180709,720.03,729.86,719.73,727.24,4057266
20180710,729,731.5,713.33,725.76,2901047
